Материал;Краткий текст материала;Длинный текст материала;Базовая ЕИ;Группа материалов;Вид материала;Вид класса;Класс;Формат;Имя признака;Название признака;Значение признака;ОбозначЗначПризнака;Техническая ЕИ значения признака;Материал(полный текст);Значение признака;ОбозначЗначПризнака
000000001300198416;Подшипник 7219 ГОСТ520;Подшипник 7219 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;7219;7219;;Подшипник 7219 ГОСТ520;;
000000001300198416;Подшипник 7219 ГОСТ520;Подшипник 7219 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 7219 ГОСТ520;;
000000001300198416;Подшипник 7219 ГОСТ520;Подшипник 7219 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 7219 ГОСТ520;;
000000001300198417;Подшипник 7220 ГОСТ520;Подшипник 7220 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;7220;7220;;Подшипник 7220 ГОСТ520;;
000000001300198417;Подшипник 7220 ГОСТ520;Подшипник 7220 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 7220 ГОСТ520;;
000000001300198417;Подшипник 7220 ГОСТ520;Подшипник 7220 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 7220 ГОСТ520;;
000000001300198418;Подшипник 7307 ГОСТ520;Подшипник 7307 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;7307;7307;;Подшипник 7307 ГОСТ520;;
000000001300198418;Подшипник 7307 ГОСТ520;Подшипник 7307 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 7307 ГОСТ520;;
000000001300198418;Подшипник 7307 ГОСТ520;Подшипник 7307 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 7307 ГОСТ520;;
000000001300198419;Подшипник 7310 ГОСТ520;Подшипник 7310 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;7310;7310;;Подшипник 7310 ГОСТ520;;
