Мдт;Материал;Краткий текст материала;Длинный текст материала;Создано;Создал;ПслднИзм;Изменил;ВидМ;ГруппаМтр;БЕИ
400;000000001300198454;Подшипник 2626 ГОСТ520;Подшипник 2626 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198455;Подшипник 32210 ГОСТ520;Подшипник 32210 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198456;Подшипник 32214 ГОСТ520;Подшипник 32214 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198457;Подшипник 32222 ГОСТ520;Подшипник 32222 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198460;Подшипник 36204 ГОСТ520;Подшипник 36204 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198461;Подшипник 42206 ГОСТ520;Подшипник 42206 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198463;Подшипник 42226 ГОСТ520;Подшипник 42226 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198465;Подшипник 42318 ГОСТ520;Подшипник 42318 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198466;Подшипник 46204 ГОСТ520;Подшипник 46204 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198467;Подшипник 46208 ГОСТ520;Подшипник 46208 ГОСТ520;29.10.2014;TMZ-KIV02;31.03.2025;RFCGWESBMOS;ZZAP;N13040000;ШТ
400;000000001300198470;Подшипник 46308 ГОСТ520;Подшипник 46308 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198472;Подшипник 7530 ГОСТ520;Подшипник 7530 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198474;Подшипник 405 ГОСТ520;Подшипник 405 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198475;Подшипник 109 ГОСТ520;Подшипник 109 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198476;Подшипник 124 ГОСТ520;Подшипник 124 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198477;Подшипник 132 ГОСТ520;Подшипник 132 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
